district,crop_name,avg_yield_mt_ha,avg_production_mt
Dhanusha,Lentil,0.97,5100.0
Dhanusha,Maize,2.84,9515.0
Dhanusha,Millet,1.19,370.0
Dhanusha,Paddy,3.24,60659.0
Dhanusha,Pigeon Pea,1.01,1115.0
Dhanusha,Potato,12.5,66750.0
Dhanusha,Soybean,1.35,422.0
Dhanusha,Sugarcane,43.0,155230.0
Dhanusha,Wheat,2.9,97150.0
Dolakha,Barley,1.21,162.0
Dolakha,Black Gram,0.97,140.0
Dolakha,Buckwheat,1.1,1157.0
Dolakha,Chickpea,0.75,5.0
Dolakha,Lentil,0.91,18.0
Dolakha,Maize,3.57,22030.0
Dolakha,Millet,1.33,4864.0
Dolakha,Paddy,2.8,3642.5
Dolakha,Pigeon Pea,1.0,2.0
Dolakha,Potato,18.23,56003.0
Dolakha,Soybean,1.38,490.0
Dolakha,Wheat,1.77,7508.0
Dolpa,Barley,0.96,312.0
Dolpa,Black Gram,0.62,1.0
Dolpa,Buckwheat,1.24,997.0
Dolpa,Lentil,1.0,2.0
Dolpa,Maize,1.74,3750.0
Dolpa,Millet,1.04,305.0
Dolpa,Paddy,1.72,342.0
Dolpa,Potato,18.03,12891.0
Dolpa,Soybean,1.94,62.0
Dolpa,Wheat,1.83,4165.0
Doti,Barley,0.86,181.0
Doti,Black Gram,0.95,342.0
Doti,Buckwheat,0.75,4.0
Doti,Lentil,1.2,636.0
Doti,Maize,2.91,10622.0
Doti,Millet,1.21,5264.0
Doti,Paddy,2.64,18448.0
Doti,Pigeon Pea,1.0,2.0
Doti,Potato,19.54,34996.0
Doti,Soybean,1.29,987.0
Doti,Sugarcane,36.5,511.0
Doti,Wheat,2.12,21836.0
Gorkha,Barley,1.28,141.0
Gorkha,Black Gram,0.88,2425.0
Gorkha,Buckwheat,1.43,285.0
Gorkha,Chickpea,1.06,101.0
Gorkha,Lentil,0.94,135.0
Gorkha,Maize,2.6,46815.0
Gorkha,Millet,1.21,13550.0
Gorkha,Paddy,4.07,20843.0
Gorkha,Pigeon Pea,0.91,60.0
Gorkha,Potato,20.08,51260.0
Gorkha,Soybean,1.23,975.0
Gorkha,Sugarcane,14.3,815.0
Gorkha,Wheat,2.37,5925.0
Gulmi,Barley,1.32,542.5
Gulmi,Black Gram,0.88,121.0
Gulmi,Buckwheat,1.0,216.8
Gulmi,Chickpea,0.99,24.0
Gulmi,Lentil,0.89,113.0
Gulmi,Maize,3.44,77173.0
Gulmi,Millet,1.28,3690.0
Gulmi,Paddy,3.95,12360.5
Gulmi,Pigeon Pea,0.87,3.0
Gulmi,Potato,15.67,13995.0
Gulmi,Soybean,1.23,186.0
Gulmi,Sugarcane,43.2,6696.0
Gulmi,Wheat,2.98,19005.0
Humla,Barley,1.29,827.0
Humla,Black Gram,0.75,32.0
Humla,Buckwheat,1.1,895.0
Humla,Lentil,1.08,27.0
Humla,Maize,1.26,290.0
Humla,Millet,1.06,1125.0
Humla,Paddy,1.73,1036.0
Humla,Potato,18.12,15674.0
Humla,Soybean,0.95,36.0
Humla,Wheat,1.04,1115.0
Ilam,Barley,1.12,53.76
Ilam,Black Gram,1.05,477.75
Ilam,Buckwheat,1.02,16.0
Ilam,Chickpea,0.7,7.0
Ilam,Lentil,1.3,84.5
Ilam,Maize,3.92,129368.0
Ilam,Millet,1.2,1894.0
Ilam,Paddy,4.05,19605.0
Ilam,Pigeon Pea,1.0,61.0
Ilam,Potato,18.78,135497.0
Ilam,Soybean,1.0,120.0
Ilam,Sugarcane,5.0,60.0
Ilam,Wheat,2.55,11526.0
Jajarkot,Barley,1.43,685.0
Jajarkot,Black Gram,1.0,259.0
Jajarkot,Buckwheat,1.45,45.0
Jajarkot,Chickpea,1.0,35.0
Jajarkot,Lentil,1.05,651.0
Jajarkot,Maize,3.25,33313.0
Jajarkot,Millet,1.21,1581.0
Jajarkot,Paddy,3.2,9120.0
Jajarkot,Potato,10.06,18611.0
Jajarkot,Soybean,1.01,737.0
Jajarkot,Wheat,2.41,25100.0
Jhapa,Barley,1.9,9.5
Jhapa,Black Gram,1.0,310.0
