district,crop_name,season,area_ha,production_mt,yield_mt_ha
Doti,Paddy,Barkhe (Main),6988.0,18448.0,2.64
Doti,Pigeon Pea,Annual,2.0,2.0,1.0
Doti,Potato,Annual,1791.0,34996.0,19.54
Doti,Soybean,Annual,765.0,987.0,1.29
Doti,Sugarcane,Annual,14.0,511.0,36.5
Doti,Wheat,Annual,10300.0,21836.0,2.12
Gorkha,Barley,Annual,110.0,141.0,1.28
Gorkha,Black Gram,Annual,2765.0,2425.0,0.88
Gorkha,Buckwheat,Annual,200.0,285.0,1.43
Gorkha,Chickpea,Annual,95.0,101.0,1.06
Gorkha,Lentil,Annual,143.0,135.0,0.94
Gorkha,Maize,Annual,18005.0,46815.0,2.6
Gorkha,Millet,Annual,11200.0,13550.0,1.21
Gorkha,Paddy,Barkhe (Main),10140.0,38532.0,3.8
Gorkha,Paddy,Chaite (Early),725.0,3154.0,4.35
Gorkha,Pigeon Pea,Annual,66.0,60.0,0.91
Gorkha,Potato,Annual,2553.0,51260.0,20.08
Gorkha,Soybean,Annual,795.0,975.0,1.23
Gorkha,Sugarcane,Annual,57.0,815.0,14.3
Gorkha,Wheat,Annual,2500.0,5925.0,2.37
Gulmi,Barley,Annual,411.0,542.5,1.32
Gulmi,Black Gram,Annual,137.0,121.0,0.88
Gulmi,Buckwheat,Annual,198.0,216.8,1.0
Gulmi,Chickpea,Annual,24.0,24.0,0.99
Gulmi,Lentil,Annual,127.0,113.0,0.89
Gulmi,Maize,Annual,22418.0,77173.0,3.44
Gulmi,Millet,Annual,2883.0,3690.0,1.28
Gulmi,Paddy,Barkhe (Main),7120.0,23140.0,3.25
Gulmi,Paddy,Chaite (Early),340.0,1581.0,4.65
Gulmi,Pigeon Pea,Annual,3.0,3.0,0.87
Gulmi,Potato,Annual,893.0,13995.0,15.67
Gulmi,Soybean,Annual,151.0,186.0,1.23
Gulmi,Sugarcane,Annual,155.0,6696.0,43.2
Gulmi,Wheat,Annual,6370.0,19005.0,2.98
Humla,Barley,Annual,642.0,827.0,1.29
Humla,Black Gram,Annual,42.0,32.0,0.75
Humla,Buckwheat,Annual,810.0,895.0,1.1
Humla,Lentil,Annual,25.0,27.0,1.08
Humla,Maize,Annual,231.0,290.0,1.26
Humla,Millet,Annual,1062.0,1125.0,1.06
Humla,Paddy,Barkhe (Main),599.0,1036.0,1.73
Humla,Potato,Annual,865.0,15674.0,18.12
Humla,Soybean,Annual,38.0,36.0,0.95
Humla,Wheat,Annual,1072.0,1115.0,1.04
Ilam,Barley,Annual,48.0,53.76,1.12
Ilam,Black Gram,Annual,455.0,477.75,1.05
Ilam,Buckwheat,Annual,16.0,16.0,1.02
Ilam,Chickpea,Annual,10.0,7.0,0.7
Ilam,Lentil,Annual,65.0,84.5,1.3
Ilam,Maize,Annual,33002.0,129368.0,3.92
Ilam,Millet,Annual,1578.0,1894.0,1.2
Ilam,Paddy,Barkhe (Main),10067.0,33724.0,3.35
Ilam,Paddy,Chaite (Early),1155.0,5486.0,4.75
Ilam,Pigeon Pea,Annual,61.0,61.0,1.0
Ilam,Potato,Annual,7215.0,135497.0,18.78
Ilam,Soybean,Annual,120.0,120.0,1.0
Ilam,Sugarcane,Annual,12.0,60.0,5.0
Ilam,Wheat,Annual,4520.0,11526.0,2.55
Jajarkot,Barley,Annual,479.0,685.0,1.43
Jajarkot,Black Gram,Annual,270.0,259.0,1.0
Jajarkot,Buckwheat,Annual,31.0,45.0,1.45
Jajarkot,Chickpea,Annual,35.0,35.0,1.0
Jajarkot,Lentil,Annual,620.0,651.0,1.05
Jajarkot,Maize,Annual,10250.0,33313.0,3.25
Jajarkot,Millet,Annual,1305.0,1581.0,1.21
Jajarkot,Paddy,Barkhe (Main),2850.0,9120.0,3.2
Jajarkot,Potato,Annual,1850.0,18611.0,10.06
Jajarkot,Soybean,Annual,730.0,737.0,1.01
Jajarkot,Wheat,Annual,10410.0,25100.0,2.41
Jhapa,Barley,Annual,5.0,9.5,1.9
Jhapa,Black Gram,Annual,310.0,310.0,1.0
Jhapa,Buckwheat,Annual,2.0,4.0,2.01
Jhapa,Chickpea,Annual,310.0,542.5,1.75
Jhapa,Lentil,Annual,5100.0,6018.0,1.18
Jhapa,Maize,Annual,44350.0,260335.0,5.87
Jhapa,Millet,Annual,800.0,1032.0,1.29
Jhapa,Paddy,Barkhe (Main),73950.0,373448.0,5.05
Jhapa,Paddy,Chaite (Early),19850.0,104014.0,5.24
Jhapa,Pigeon Pea,Annual,260.0,390.0,1.5
Jhapa,Potato,Annual,15795.0,258564.0,16.37
Jhapa,Soybean,Annual,50.0,46.0,0.91
Jhapa,Sugarcane,Annual,300.0,8100.0,27.0
Jhapa,Wheat,Annual,3000.0,7950.0,2.65
Jumla,Barley,Annual,1935.0,3515.0,1.82
Jumla,Buckwheat,Annual,95.0,98.0,1.03
